x,y
29/12/1978,110.7
01/01/1979,110.7
02/01/1979,111.5
03/01/1979,108.0
04/01/1979,110.7
05/01/1979,111.6
08/01/1979,110.2
09/01/1979,111.0
10/01/1979,109.9
11/01/1979,110.2
12/01/1979,109.0
15/01/1979,108.8
16/01/1979,110.2
17/01/1979,113.3
18/01/1979,115.3
19/01/1979,115.1
22/01/1979,117.6
23/01/1979,115.2
24/01/1979,118.1
25/01/1979,117.3
26/01/1979,118.0
29/01/1979,117.9
30/01/1979,116.9
31/01/1979,117.4
01/02/1979,115.8
02/02/1979,116.3
05/02/1979,122.2
06/02/1979,122.6
07/02/1979,124.9
08/02/1979,124.9
09/02/1979,123.3
12/02/1979,121.9
13/02/1979,120.1
14/02/1979,120.0
15/02/1979,123.6
16/02/1979,123.3
19/02/1979,123.9
20/02/1979,123.2
21/02/1979,124.9
22/02/1979,125.6
23/02/1979,124.8
26/02/1979,123.0
27/02/1979,122.6
28/02/1979,124.2
01/03/1979,123.0
02/03/1979,122.7
05/03/1979,117.8
06/03/1979,118.4
07/03/1979,119.1
08/03/1979,117.1
09/03/1979,118.2
12/03/1979,117.6
13/03/1979,117.2
14/03/1979,117.6
15/03/1979,117.9
16/03/1979,120.2
19/03/1979,119.7
20/03/1979,119.1
21/03/1979,118.1
22/03/1979,119.4
23/03/1979,119.0
26/03/1979,119.4
27/03/1979,119.0
28/03/1979,119.3
29/03/1979,117.5
30/03/1979,116.2
02/04/1979,115.9
03/04/1979,116.2
04/04/1979,116.0
05/04/1979,116.0
06/04/1979,114.9
09/04/1979,114.7
10/04/1979,114.1
11/04/1979,114.2
12/04/1979,112.4
13/04/1979,112.4
16/04/1979,112.4
17/04/1979,111.2
18/04/1979,112.5
19/04/1979,115.9
20/04/1979,114.3
23/04/1979,114.5
24/04/1979,115.9
25/04/1979,118.4
26/04/1979,118.6
27/04/1979,118.6
30/04/1979,118.8
01/05/1979,119.6
02/05/1979,119.1
03/05/1979,118.7
04/05/1979,119.6
07/05/1979,119.6
08/05/1979,120.4
09/05/1979,119.9
10/05/1979,123.1
11/05/1979,123.1
14/05/1979,122.8
15/05/1979,123.9
16/05/1979,124.5
17/05/1979,124.9
18/05/1979,125.2
21/05/1979,128.2
22/05/1979,129.8
23/05/1979,128.4
24/05/1979,128.5
25/05/1979,131.9
28/05/1979,131.9
29/05/1979,133.2
30/05/1979,131.3
31/05/1979,132.7
01/06/1979,132.6
04/06/1979,131.3
05/06/1979,132.1
06/06/1979,135.0
07/06/1979,133.7
08/06/1979,135.7
11/06/1979,136.5
12/06/1979,132.8
13/06/1979,131.5
14/06/1979,133.1
15/06/1979,132.9
18/06/1979,132.0
19/06/1979,132.0
20/06/1979,131.9
21/06/1979,131.9
22/06/1979,132.4
25/06/1979,131.5
26/06/1979,130.8
27/06/1979,130.7
28/06/1979,127.2
29/06/1979,127.3
02/07/1979,129.1
03/07/1979,127.7
04/07/1979,127.4
05/07/1979,129.3
06/07/1979,130.7
09/07/1979,130.7
10/07/1979,130.7
11/07/1979,130.0
12/07/1979,130.5
13/07/1979,129.0
16/07/1979,130.6
17/07/1979,130.5
18/07/1979,132.7
19/07/1979,130.4
20/07/1979,131.4
23/07/1979,132.5
24/07/1979,131.3
25/07/1979,130.7
26/07/1979,131.0
27/07/1979,132.3
30/07/1979,130.3
31/07/1979,131.9
01/08/1979,127.8
02/08/1979,128.5
03/08/1979,126.2
06/08/1979,126.3
07/08/1979,128.5
08/08/1979,130.4
09/08/1979,132.9
10/08/1979,135.2
13/08/1979,133.6
14/08/1979,130.8
15/08/1979,135.2
