date,Pound sterling
01/01/2016,719.2
04/01/2016,736.8
05/01/2016,735.2
06/01/2016,747.1
07/01/2016,759.4
08/01/2016,757.9
11/01/2016,757.5
12/01/2016,755.4
13/01/2016,753.4
14/01/2016,756.2
15/01/2016,764.4
18/01/2016,763.1
19/01/2016,768
20/01/2016,776.6
21/01/2016,775.7
22/01/2016,764.7
25/01/2016,775.6
26/01/2016,777.4
27/01/2016,783
28/01/2016,774.2
29/01/2016,783.8
01/02/2016,783.8
02/02/2016,785.2
03/02/2016,775.9
04/02/2016,793.1
05/02/2016,794.2
08/02/2016,830.1
09/02/2016,822.2
10/02/2016,823.1
11/02/2016,859.6
12/02/2016,857.5
15/02/2016,836.2
16/02/2016,845.3
17/02/2016,845.1
18/02/2016,842.5
19/02/2016,862.9
22/02/2016,856.8
23/02/2016,866
24/02/2016,897.7
25/02/2016,886.3
26/02/2016,884.7
29/02/2016,886.1
01/03/2016,888.2
02/03/2016,881.1
03/03/2016,883.2
04/03/2016,898.7
07/03/2016,892.6
08/03/2016,891.8
09/03/2016,876.4
10/03/2016,885.3
11/03/2016,878.7
14/03/2016,867.6
15/03/2016,869.8
16/03/2016,871.5
17/03/2016,874.1
18/03/2016,862.8
21/03/2016,864.5
22/03/2016,881
23/03/2016,862.9
24/03/2016,863.2
25/03/2016,863.2
28/03/2016,856.4
29/03/2016,859.5
30/03/2016,855.7
31/03/2016,860.6
01/04/2016,855.3
04/04/2016,853.5
05/04/2016,871.3
06/04/2016,867
07/04/2016,881.2
08/04/2016,878.7
11/04/2016,879.6
12/04/2016,882.9
13/04/2016,876.7
14/04/2016,872.5
15/04/2016,865.5
18/04/2016,864.6
19/04/2016,871.8
20/04/2016,869.3
21/04/2016,871.2
22/04/2016,862.7
25/04/2016,854.4
26/04/2016,851.4
27/04/2016,858.1
28/04/2016,861.8
29/04/2016,877.6
02/05/2016,876.2
03/05/2016,889.5
04/05/2016,886.1
05/05/2016,883.2
06/05/2016,893.2
09/05/2016,878.7
10/05/2016,872.9
11/05/2016,882.8
12/05/2016,882.2
13/05/2016,882.3
16/05/2016,892.8
17/05/2016,882.7
18/05/2016,870.7
19/05/2016,854.4
20/05/2016,864.1
23/05/2016,861.4
24/05/2016,846.6
25/05/2016,829.4
